07-10 08:57:34.971     0     0 I I00000/HiLog: ========Zeroth log of type: init
07-10 15:49:58.628  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBScenePanelMissionHandler: [Screen:0][Panel:1] get none existing session.
07-10 15:49:58.628  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBScenePanelMissionHandler: [Screen:0][Panel:1] get none existing session.
07-10 15:49:58.628  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBScenePanelMissionHandler: [Screen:0][Panel:2] get none existing session.
07-10 15:49:58.628  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBScenePanelMissionHandler: [Screen:0][Panel:2] get none existing session.
07-10 15:49:58.628  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBSceneMissionManager: no exist container session match the info to be found.
07-10 15:49:58.628  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBTvCastMissionHandler: null session not on cast, ignore intercept
07-10 15:49:58.628  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBScenePanelMissionHandler: [Screen:0][Panel:1] get none existing session.
07-10 15:49:58.628  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBScenePanelMissionHandler: [Screen:0][Panel:1] get none existing session.
07-10 15:49:58.628  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBScenePanelMissionHandler: [Screen:0][Panel:2] get none existing session.
07-10 15:49:58.628  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBScenePanelMissionHandler: [Screen:0][Panel:2] get none existing session.
07-10 15:49:58.628  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBSceneMissionManager: no exist container session match the info to be found.
07-10 15:49:58.629  1340  1340 I A01b01/HOME: [a92ab1a42692cc8, d4a40b, 396800f] StartAndExitVisualEffectManager: mIsPowerSaveMode: false
07-10 15:49:58.629  1340  1340 I A01b01/HOME: [a92ab1a42692cc8, d4a40b, 396800f] StartAndExitVisualEffectManager: mIsStartExitBlurDisable: false
07-10 15:49:58.629  1340  1340 I A01b01/HOME: [a92ab1a42692cc8, d4a40b, 396800f] StartAndExitVisualEffectManager: mIsPowerSaveMode: false
07-10 15:49:58.629  1340  1340 W A01b01/HOME: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: onStartSceneFromOther get CardId from formID cardId =  isStartCard=false
07-10 15:49:58.629  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: [SCBMain][id:42][screenId:0]requestSceneSession, callerPersistentId:0, needLinkCaller:true
07-10 15:49:58.629  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: [SCBMain] find sceneSession from other screen
07-10 15:49:58.629  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBScenePanelMissionHandler: [Screen:0][Panel:1] get none existing session.
07-10 15:49:58.629  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBScenePanelMissionHandler: [Screen:0][Panel:1] get none existing session.
07-10 15:49:58.629  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBScenePanelMissionHandler: [Screen:0][Panel:2] get none existing session.
07-10 15:49:58.629  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBScenePanelMissionHandler: [Screen:0][Panel:2] get none existing session.
07-10 15:49:58.629  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBSceneMissionManager: no exist container session match the info to be found.
07-10 15:49:58.629  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSSM: popSceneFromOtherScreen toScreen: 0, needBackground: trueneedRefreshFocus: true, needUpdateScreenId: true,persistentId:42
07-10 15:49:58.629  1340  1340 E A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBSceneMissionManager: findMainSessionGlobalById error, not exist.
07-10 15:49:58.629  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBSceneMissionManager: popSceneFromOtherScreenByPersistentId not found target session
07-10 15:49:58.629  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSSM: isProjectionBundleName bundleName = com.minliny.reader, screenId = 0
07-10 15:49:58.629  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: [SCBMain]requestSceneSession using exist persistentId: 42
07-10 15:49:58.629  1340  1340 W A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: getSceneSessionByPersistentId find nothing, id 42
07-10 15:49:58.629  1340  1340 W A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: [SCBMain][id:42][sceneInfo:com.minliny.reader/entry/EntryAbility/0][screenId:0]request New SceneSession.
07-10 15:49:58.629  1340  1340 W A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBSceneMissionManager: getTargetAppCountOldestSceneSession:session is new.
07-10 15:49:58.630  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSSM: [SCBMain] set isAbilityHook false
07-10 15:49:58.630  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSSM: isAncoApplication bundleName: com.minliny.reader, isAnco: false
07-10 15:49:58.631  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBSceneMissionManager: [SCBMain][id:42][sceneInfo:com.minliny.reader/entry/EntryAbility/0][screenId:0]requestSceneSession suceess, udpate persistentId from 42 to 42, udpate appInstanceKey from  to
07-10 15:49:58.632  1340  1340 I A01b01/HOME: [a92ab1a42692cc8, d4a40b, 396800f] ResourceManager: getAppName bundleName:com.minliny.reader, moduleName:com.minliny.reader, labelId:16777220
07-10 15:49:58.632  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSSM: isAncoApplication bundleName: com.minliny.reader, isAnco: false
07-10 15:49:58.632  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] ContainerSessionInitBasicStrategy: Initialize the basic data state and mission management data status of the sceneSession.
07-10 15:49:58.632  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSceneSession: SCBSceneSession registerData category:0.
07-10 15:49:58.632  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSceneSession: SCBSceneSession registerData category:1.
07-10 15:49:58.633  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSceneSession: SCBSceneSession registerState category:0.
07-10 15:49:58.633  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSSM: isAncoApplication bundleName: com.minliny.reader, isAnco: false
07-10 15:49:58.633  1340  1340 I A01b00/SCB: [a92ab1a42692cc8, d4a40b, 396800f] SCBCategoryResourceManager: isSpecificSystemBarInvisible bundleName: com.minliny.reader isSpecificSystemBarInvisible: false
07-10 15:49:58.633  1340  1340 I A01b00/SCB: [a92ab1a42692cc8, d4a40b, 396800f] SCBCategoryResourceManager: isOrientationLandscape bundleName: com.minliny.reader isOrientationLandscape: false
07-10 15:49:58.633  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSceneSession: requestOrientation: 0 queryKey: com.minliny.readerentryEntryAbility
07-10 15:49:58.635  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBSceneMissionManager: cacheNewSceneSession of id: 42, exist: false.
07-10 15:49:58.635  1340  1340 W A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: Failed to get scene containerSession with session id: 42
07-10 15:49:58.635  1340  1340 I A01b01/HOME: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: postStartSceneFromOtherEvent: com.minliny.reader + EntryAbility
07-10 15:49:58.635  1340  1340 W A01a01/NC: [a92ab1a42692cc8, d4a40b, 396800f] DropdownPanel-Index: onStartSceneFromOtherEvent return. event: com.minliny.reader isViewShowing:false
07-10 15:49:58.635  1340  1340 W A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSplitViewAnimationManager: BackAndOneSplitAnimationBreak containerSession is not availiable
07-10 15:49:58.635  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: GuidanceLog set unNeedKnowMore
07-10 15:49:58.635  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: [SCBSplit] start from non-onAPP
07-10 15:49:58.635  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBMultiWindowUtils: CUBE GuidanceLog isNeedKnowMore false
07-10 15:49:58.635  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSplitManager: interruptStartSceneForSplit scenePanelState is 1 not SPLIT
07-10 15:49:58.635  1340  1340 W A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: Failed to get scene containerSession with session id: 42
07-10 15:49:58.635  1340  1340 W A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: Failed to getSessionFromFloatingScene with session id: 42
07-10 15:49:58.635  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: Get containerSession with id:42 from special scene list
07-10 15:49:58.635  1340  1340 I A01b00/SCB: [a92ab1a42692cc8, d4a40b, 396800f] SCBTM: findTransitionController. bundleName: com.minliny.reader, overlayBundleName: undefined
07-10 15:49:58.636  1340  1340 W A01b01/HOME: [a92ab1a42692cc8, d4a40b, 396800f] PageDesktopModel: findTransitionController shortcutId empty bundleName:com.minliny.reader
07-10 15:49:58.636  1340  1340 W A01b01/HOME: [a92ab1a42692cc8, d4a40b, 396800f] PageDesktopModel: findTransitionController bundleName: com.minliny.reader, abilityName: EntryAbility, startType: 0, formCardId: undefined, cardId: undefined, extraId: undefined, appIndex: 0, shortcutId: undefined, appInstanceKey: %{public}s
07-10 15:49:58.636  1340  1340 W A01b00/SCB: [a92ab1a42692cc8, d4a40b, 396800f] SCBTM: Find controller success ? true, findData: {"bundleName":"com.minliny.reader","abilityName":"EntryAbility","appIndex":0,"appIconId":"","iconRadius":0,"appIconNumber":0,"startAppType":0,"isOpenFolder":false}
07-10 15:49:58.636  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBFloatManager: isAtomicServiceFloatScene: notSupportAtomicServiceFloatScene
07-10 15:49:58.637  1340  1340 W A01b01/HOME: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: [SCBMain]onStartSceneFromOther isNewWant false. StartApp:com.minliny.reader
07-10 15:49:58.640  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] ContainerSessionInitBasicStrategy: Initialize the basic data state and mission management data status of the containerSession.
07-10 15:49:58.640  1340  1340 I A01b00/SCB: [a92ab1a42692cc8, d4a40b, 396800f] SCBSCS: registerData category:0.
07-10 15:49:58.640  1340  1340 I A01b00/SCB: [a92ab1a42692cc8, d4a40b, 396800f] SCBSCS: registerData category:1.
07-10 15:49:58.640  1340  1340 I A01b00/SCB: [a92ab1a42692cc8, d4a40b, 396800f] SCBSCS: registerState category:1.
07-10 15:49:58.640  1340  1340 I A01b00/SCB: [a92ab1a42692cc8, d4a40b, 396800f] SCBSCS: registerState category:0.
07-10 15:49:58.640  1340  1340 I A01b00/SCB: [a92ab1a42692cc8, d4a40b, 396800f] SCBSCS: set NeedRenderClip clipWidth from 0 to 1280
07-10 15:49:58.640  1340  1340 I A01b00/SCB: [a92ab1a42692cc8, d4a40b, 396800f] SCBSCS: set NeedRenderClip clipHeight from 0 to 2832
07-10 15:49:58.640  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSSM: isAncoApplication bundleName: com.minliny.reader, isAnco: false
07-10 15:49:58.640  1340  1340 I A01b00/SCB: [a92ab1a42692cc8, d4a40b, 396800f] SCBSCS: bundleName: com.minliny.reader, isAnco: false, persistentId: 42
07-10 15:49:58.641  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSPM: Add scene container session, id: 9
07-10 15:49:58.641  1340  1340 I A01b01/HOME: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: [SCBMain]onStartSceneFromOther add new session: 9
07-10 15:49:58.641  1340  1340 I A0421d/WMSRotation: [a92ab1a42692cc8, d4a40b, 396800f] [startSceneWithRotationIfNeed] containerSession EntryAbility/com.minliny.reader/entry/0(persistentId: 42)(containerId: 9), needAnimation false isFromRecent false fromUser false isPageRotation false
07-10 15:49:58.641  1340  1340 I A0421d/WMSRotation: [a92ab1a42692cc8, d4a40b, 396800f] [coverSensorRotation] cover sensor rotation.
07-10 15:49:58.641  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScreenSM: screenRotationLocked value:false
07-10 15:49:58.641  1340  1340 W A0421d/WMSRotation: [a92ab1a42692cc8, d4a40b, 396800f] [getTargetRotation] bundleName:com.minliny.reader requestOrientation:0 isScreenLocked:false isPlacedRotateFriendlyDevicePlaced:false fixedRotation: -1 rotationCommand: {"isIgnorePlacedState":false}
07-10 15:49:58.641  1340  1340 W A0421d/WMSRotation: [a92ab1a42692cc8, d4a40b, 396800f] [startSceneWithRotationIfNeed] before rotate with targetRotation=0, sensorRotation=0, currentScreenRotation=0, currentContainerRotation=0, tempRotation=, name=com.minliny.reader
07-10 15:49:58.641  1340  1340 I A0421d/WMSRotation: [a92ab1a42692cc8, d4a40b, 396800f] [rotateWindowPolicy] rotate with window policy.
07-10 15:49:58.641  1340  1340 I A0421d/WMSRotation: [a92ab1a42692cc8, d4a40b, 396800f] [rotateWindowPolicy] no need to rotate with same targetRotation.
07-10 15:49:58.641  1340  1340 W A01b01/HOME: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: [SCBMain]onStartSceneFromOther EntryAbility/com.minliny.reader/entry/0(persistentId: 42)(containerId: 9) isActive:false isStartCard:false needBlurAnimation:true scenePanelState:1
07-10 15:49:58.641  1340  1340 I A01b09/RECENT: [a92ab1a42692cc8, d4a40b, 396800f] RecentPanelViewModel: [SCBMain]onStartSceneFromOther EntryAbility/reader.minliny.testpackage/entry/0(persistentId: 41)(containerId: 8) notShowSessionDestroy
07-10 15:49:58.641  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: needMinimizeActiveContainer currMode 1 activeMode 1
07-10 15:49:58.641  1340  1340 I A01b01/HOME: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: onStartSceneFromOther need minimize active container
07-10 15:49:58.641  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: updateCallerInfo, persistentId:42, oldCallerId:0, newCallerId:41, toId:0.
07-10 15:49:58.642  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: linkCallerAndToPersistentForSession, callerId=0, toId=0
07-10 15:49:58.642  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: [SCBMain] getSceneSessionByPersistentId from containerSessionList id: 41
07-10 15:49:58.642  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: getSceneContainerSessionWithPersistentId from containerSessionList id: 41
07-10 15:49:58.642  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: newCallerContainer bundlename = reader.minliny.testpackage, isNeedUpdateCallerInfo = true
07-10 15:49:58.642  1340  1340 W A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: Failed to get scene containerSession with session id: 0
07-10 15:49:58.642  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: newCallerContainer bundlename = undefined, isNeedUpdateCallerInfo = true
07-10 15:49:58.642  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: updateCallerInfo, newCallerId:41.
07-10 15:49:58.642  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSPM: Remove container id: 9, 42
07-10 15:49:58.642  1340  1340 I A01b09/RECENT: [a92ab1a42692cc8, d4a40b, 396800f] RecentDockRefreshAlarm: start alarm recent dock: EntryAbility/com.minliny.reader/entry/0(persistentId: 42)(containerId: 9)
07-10 15:49:58.642  1340  1340 W A0420a/WMSLife: [a92ab1a42692cc8, d4a40b, 396800f] Request scene container session activation, name: EntryAbility/com.minliny.reader/entry/0(persistentId: 42)(containerId: 9) isNewActive: false, isPersist: true, reason: undefined
07-10 15:49:58.642  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBPengLaiModeManager: isInPengLaiMode: false
07-10 15:49:58.642  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSceneRecentMissionManager: add id 42 to recentMissionIdSet
07-10 15:49:58.642  1340  1340 W A01b00/SCB: [a92ab1a42692cc8, d4a40b, 396800f] SCBSCS: [SCBMain] requestSessionActivation primarySession priNewActive: false
07-10 15:49:58.642  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSceneSession: [SCBMain]requestSceneSessionActivation: isNewActive: false, isPersist: true, reason: undefined, name: EntryAbility/com.minliny.reader/entry/0(persistentId: 42), containerRotation: 0
07-10 15:49:58.642  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSSM: [SCBMain][id:42]requestSceneSessionActivation.
07-10 15:49:58.642  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSSM: [SCBMain]setIsPendingToBackgroundState, state:false
07-10 15:49:58.642  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSSM: [SCBMain]setIsActivatedAfterScreenLocked, isScreenLocked: false
07-10 15:49:58.642  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSceneSession: [SCBMain]isForegroundAndActive: sessionState: undefined, isActive: true
07-10 15:49:58.642  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePersistent: update to persistentMap, bundleName: com.minliny.reader moduleName: entry abilityName: EntryAbility
07-10 15:49:58.643  1340  1340 W A0420a/WMSLife: [a92ab1a42692cc8, d4a40b, 396800f] requestSceneBackground, name: EntryAbility/reader.minliny.testpackage/entry/0(persistentId: 41)(containerId: 8) isToDeskTop:undefined isDelegator:undefined isSaveSnapshot:undefined
07-10 15:49:58.643  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePersistent: update to persistentMap, bundleName: reader.minliny.testpackage moduleName: entry abilityName: EntryAbility
07-10 15:49:58.643  1340  1340 W A01b00/SCB: [a92ab1a42692cc8, d4a40b, 396800f] SCBSCS: current is not split or primarySession is null or secondarySession is null
07-10 15:49:58.643  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSceneSession: [SCBMain]requestSceneSessionBackground: name: EntryAbility/reader.minliny.testpackage/entry/0(persistentId: 41)
07-10 15:49:58.643  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBScene: [UseControl]Use control isActive:false persistentId:41
07-10 15:49:58.644  1340  1340 I A0420a/WMSLife: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMain][id:41]requestSceneSessionBackground, isDelegator:undefined isToDeskTop:undefined isSaveSnapshot:undefinedlockReason:0
07-10 15:49:58.644  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSSM: [SCBMain]setIsPendingToBackgroundState, state:true
07-10 15:49:58.644  1340  1340 I A01b01/HOME: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: enter FULLSCENE
07-10 15:49:58.644  1340  1340 I A01b09/RECENT: [a92ab1a42692cc8, d4a40b, 396800f] RecentPanel: RecentViewParam init
07-10 15:49:58.644  1340  1340 W A01b00/SCB: [a92ab1a42692cc8, d4a40b, 396800f] SCBSCS: [SCBSCS] border radius from topLeft: 0, topRight: 0, bottomLeft: 0, bottomRight: 0 to 36. reason: init, extra: EntryAbility/reader.minliny.testpackage/entry/0(persistentId: 41)(containerId: 8)
07-10 15:49:58.644  1340  1340 W A01b00/SCB: [a92ab1a42692cc8, d4a40b, 396800f] SCBSCS: [SCBSCS] border radius from topLeft: 0, topRight: 0, bottomLeft: 0, bottomRight: 0 to 36. reason: init, extra: EntryAbility/com.minliny.reader/entry/0(persistentId: 42)(containerId: 9)
07-10 15:49:58.644  1340  1340 W A01b00/SCB: [a92ab1a42692cc8, d4a40b, 396800f] SCBSCS: [SCBSCS] sceneAlpha from 0 to 1. reason: init, extra: EntryAbility/com.minliny.reader/entry/0(persistentId: 42)(containerId: 9)
07-10 15:49:58.644  1340  1340 I A04209/WMSImms: [a92ab1a42692cc8, d4a40b, 396800f] enterRecent:false
07-10 15:49:58.644  1340  1340 I A04209/WMSImms: [a92ab1a42692cc8, d4a40b, 396800f] update force prop:[0,false,"#00FFFFFF","#FFFFFFFF",true,true,null],callfrom:RecentTask out
07-10 15:49:58.644  1340  1340 I A01b01/HOME: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: close formservice and managerview when fullscene
07-10 15:49:58.644  1340  1340 I A01a00/SYS_UI: [a92ab1a42692cc8, d4a40b, 396800f] OverlayStartAnimHelper: checkStartOverlayTransitionIn
07-10 15:49:58.644  1340  1340 E A01a00/SYS_UI: [a92ab1a42692cc8, d4a40b, 396800f] OverlayStartAnimHelper: overlayCardInfo is invalid
07-10 15:49:58.644  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSSM: resetStartingSceneFromPiP
07-10 15:49:58.644  1340  1340 I A01b01/HOME: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: Not SmartKey quickAccessMenu
07-10 15:49:58.644  1340  1340 W A01b01/HOME: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: [SCBMain]onStartSceneFromOther !isActive call sceneContainerZoomIn
07-10 15:49:58.644  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBFloatManager: minimizeAllFloatContainer reason:minimizeAllFloatWindowFromFullScreen
